1000
x y
0.0125126 1.8963
8.08741 1039.16
3.50291 85.0711
7.46605 816.101
7.10501 699.161
0.149846 3.14049
1.47313 11.3674
4.45692 162.044
0.089114 5.03982
5.71184 362.217
1.66234 8.97928
3.52123 81.273
7.83319 945.339
3.0195 54.4034
9.55901 1727.69
1.42338 3.79677
8.62239 1261.5
8.43654 1189.82
6.11499 440.977
2.97281 44.8751
3.75866 100.166
0.562151 7.58061
2.75887 38.9736
6.91183 649.267
4.84939 219.543
4.68459 200.851
7.44438 805.858
3.85235 109.78
5.72405 358.644
2.25105 23.9202
5.17106 271.082
3.45561 77.591
4.91897 228.136
5.04807 249.852
1.41575 8.93056
3.03049 47.0529
9.66613 1780.59
8.77255 1332.55
1.91351 15.8278
4.75265 203.847
7.32017 764.645
5.68743 359.474
7.21915 731.864
3.67809 90.0647
5.17014 265.994
1.04678 8.8379
5.49547 319.313
3.74981 98.6731
4.56099 184.868
2.978 50.2716
1.9599 18.0836
3.97656 122.739
0.274667 5.07918
0.505081 0.698951
8.43043 1180.69
1.97851 11.4646
1.09928 2.76684
9.41069 1639.96
1.40263 9.98424
7.07999 696.728
2.52724 23.8186
0.610065 7.337
2.10578 17.0806
0.142521 4.0683
7.5222 835.533
0.738853 0.562782
6.96219 656.964
2.32429 23.647
6.28681 481.005
9.63042 1768.59
1.89947 9.48004
9.95178 1950.91
0.975066 -0.0051136
4.37727 156.983
8.9462 1405.56
7.69066 888.01
6.28071 481.842
4.66353 195.663
8.54793 1232.56
7.20908 731.923
1.84271 12.9757
9.05087 1455.27
6.04724 431.19
3.51299 76.9534
7.40745 797.711
6.91122 643.091
5.76037 376.232
6.14704 447.936
6.67776 581.854
5.69201 352.388
1.08554 8.21463
7.44316 803.082
0.793481 4.69257
8.20002 1083
4.08979 128.377
5.01205 238.266
7.37999 788.643
9.59075 1746.42
3.00058 47.6341
0.657369 4.02919
6.09638 438.368
8.75637 1321.07
1.04801 1.43424
2.90292 46.9476
6.62801 564.83
3.79131 105.541
5.09262 255.157
5.32151 289.947
0.0589007 0.842146
6.23066 472.249
7.47337 816.153
7.85363 949.242
9.55718 1720.24
3.74248 99.6626
9.5172 1696.87
3.29844 66.8041
1.31626 9.71218
5.96881 417.254
0.146794 6.59019
6.17145 450.504
1.6892 8.19178
3.19407 61.777
8.02393 1016.87
6.11103 448.923
1.4481 5.94173
2.537 32.6771
0.661641 4.28012
3.02286 48.5761
3.1135 57.8913
1.34709 8.43817
8.9523 1418.11
6.15223 454.978
2.28492 20.1289
2.4955 33.5491
0.538041 3.71892
4.26801 143.546
8.91537 1389.59
1.25095 1.50341
0.470901 1.9524
9.14701 1506.58
9.46165 1674.22
8.42097 1174.65
2.59163 31.0101
9.54802 1713.68
5.85559 389.391
9.4528 1669.25
0.0717185 5.83271
7.86157 950.199
2.22327 15.0918
4.1792 138.302
8.55098 1229.22
6.62069 569.848
5.30137 284.493
6.89505 644.268
0.310678 5.68768
7.06565 686.875
9.47905 1673.56
1.45177 8.66352
2.92245 46.0624
6.9454 648.842
2.40547 29.6954
1.06418 4.06352
0.801111 0.568818
9.74395 1832.43
2.10639 12.3185
7.50633 824.52
3.11136 52.8239
2.52083 26.1687
1.53508 11.6679
9.39085 1633.09
6.45558 528.803
4.55458 183.859
1.50761 8.23139
4.2204 144.96
5.7857 372.751
3.96954 112.961
7.95251 980.305
3.89416 107.486
1.97668 15.28
4.54329 181.378
4.41298 163.42
8.35719 1145.07
9.49461 1690.84
9.87457 1901.91
5.7445 367.836
7.08518 689.757
2.60201 36.1404
7.10196 705.693
3.93567 118.751
3.08603 54.8825
3.53557 86.0641
7.36381 779.681
2.00171 16.3851
9.1113 1489.4
1.09378 1.81212
5.1796 267.568
6.87643 627.658
0.757775 1.78995
3.0723 50.8149
3.94848 116.324
7.24937 744.964
6.15711 454.754
0.983001 -0.508447
9.74578 1831.43
7.27866 756.421
6.92801 647.267
0.499588 0.600988
0.608234 6.35489
2.1247 17.2774
0.0915555 4.79995
6.05945 432.368
3.49803 85.7331
6.2331 469.266
5.62853 345.656
3.06406 47.9472
6.12568 440.861
0.310373 7.69429
9.36766 1622.33
6.11591 449.816
5.82598 379.358
7.93176 979.83
5.89435 400.464
6.7275 587.831
2.67312 32.0798
7.7102 901.277
1.16855 6.23855
8.93948 1404.49
9.02005 1452.88
1.97363 18.2213
9.53398 1716.84
6.28712 482.363
2.64992 35.9274
7.8811 959.92
4.80941 214.112
8.55342 1225.76
5.73321 367.163
1.9187 18.7582
0.153508 6.48578
1.74139 7.3417
6.76626 607.11
3.71227 94.5433
6.38234 501.145
9.71038 1800.19
7.69219 885.005
0.0924711 6.14896
3.43242 74.4526
0.906705 5.80439
3.37992 76.3789
5.35478 291.932
4.65773 191.271
8.63338 1261.84
5.65813 354.279
8.64223 1270.98
8.64376 1274.42
8.28639 1124.02
9.08322 1480.54
4.40168 159.172
8.23054 1091.51
0.00854518 7.71124
0.637226 2.20107
6.83889 622.844
