1000
x y
0.125126 -9.8588
80.874 129.072
35.0291 66.1453
74.6605 91.715
71.0501 105.682
1.49846 -6.57021
14.7313 16.5336
44.5692 42.3803
0.89114 -5.36637
57.1184 91.2738
16.6234 21.8158
35.2123 34.8188
78.3319 142.234
30.195 54.9313
95.5901 187.032
14.2338 12.5877
86.2239 108.716
84.3654 174.894
61.1499 81.9246
29.7281 45.9142
37.5866 39.5987
5.62151 3.42097
27.5887 31.7556
69.1183 129.189
48.4939 58.7393
46.8459 70.4757
74.4438 83.9394
38.5235 64.7806
57.2405 73.1634
22.5105 30.3607
51.7106 103.59
34.5561 38.4241
49.1897 52.2318
50.4807 60.4703
14.1575 23.3165
30.3049 34.9659
96.6613 161.898
87.7255 162.401
19.1351 20.6245
47.5265 52.7112
73.2017 101.008
56.8743 96.9222
72.1915 102.953
36.7809 59.5103
51.7014 83.411
10.4678 18.666
54.9547 72.1811
37.4981 64.1768
45.6099 60.4015
29.78 48.4438
19.599 32.8743
39.7656 60.5624
2.74667 -0.520872
5.05081 -1.8198
84.3043 140.149
19.7851 27.6591
10.9928 11.4017
94.1069 121.803
14.0263 22.0576
70.7999 115.849
25.2724 19.467
6.10065 8.15555
21.0578 19.13
1.42521 -5.72499
75.222 127.792
7.38853 1.37351
69.6219 89.1659
23.2429 32.3243
62.8681 72.2672
96.3042 170.187
18.9947 17.0589
99.5178 152.973
9.75066 5.76551
43.7727 77.4093
89.462 114.627
76.9066 106.204
62.8071 99.5485
46.6353 73.526
85.4793 159.119
72.0908 111.837
18.4271 27.4186
90.5087 111.431
60.4724 102.606
35.1299 44.817
74.0745 121.023
69.1122 121.117
57.6037 110.464
61.4704 100.781
66.7775 129.816
56.9201 69.759
10.8554 17.8871
74.4316 84.672
7.93481 3.74591
82.0002 127.38
40.8979 49.8613
50.1206 54.0141
73.7999 100.611
95.9075 184.509
30.0058 50.6041
6.57369 5.63701
60.9638 114.071
87.5637 144.796
10.4801 7.0919
29.0292 52.1501
66.2801 73.4249
37.9131 56.4737
50.9262 70.373
53.2151 82.7518
0.589007 -9.92895
62.3066 115.238
74.7337 111.144
78.5363 121.377
95.5718 155.186
37.4248 41.5262
95.172 151.212
32.9844 32.5191
13.1626 22.2717
59.6881 105.27
1.46794 -3.12054
61.7145 69.9725
16.892 20.5334
31.9407 41.485
80.2393 146.272
61.1103 113.004
14.481 17.0789
25.37 27.923
6.61641 3.84212
30.2286 40.0739
31.135 33.7733
13.4709 14.5281
89.523 164.604
61.5223 86.4583
22.8492 35.1607
24.955 38.8345
5.38041 -0.396711
42.6801 41.5766
89.1537 108.286
12.5095 14.216
4.70901 -3.17954
91.4701 129.405
94.6165 176.632
84.2097 143.01
25.9163 21.8762
95.4802 133.507
58.5559 74.1912
94.528 142.05
0.717185 -4.52074
78.6157 121.237
22.2327 21.014
41.792 44.0079
85.5098 95.7169
66.2069 114.636
53.0137 84.0904
68.9505 121.812
3.10678 0.561465
70.6565 77.2797
94.7905 100.591
14.5177 24.4224
29.2245 50.7814
69.454 81.1437
24.0547 36.026
10.6418 13.729
8.01111 4.79558
97.4395 179.488
21.0639 20.8259
75.0633 83.1775
31.1136 53.4946
25.2083 22.9773
15.3508 23.262
93.9085 117.47
64.5558 110.5
45.5458 86.7032
15.0761 19.8727
42.204 79.6295
57.857 85.2332
39.6954 45.9349
79.5251 91.8079
38.9416 54.5497
19.7668 19.2683
45.4329 72.4046
44.1298 70.7135
83.5719 131.417
94.9461 179.531
98.7457 123.876
57.445 82.857
70.8518 72.3085
26.0201 36.182
71.0196 126.816
39.3567 55.9718
30.8603 39.6291
35.3557 60.2851
73.6381 124.846
20.0171 22.2797
91.113 126.916
10.9378 11.9877
51.796 83.2787
68.7643 70.6545
7.57775 0.0970278
30.723 44.6448
39.4848 40.8695
72.4937 89.0882
61.5711 101.491
9.83001 4.6702
97.4578 150.127
72.7866 113.511
69.2801 93.8743
4.99588 -0.763369
6.08234 4.42426
21.247 23.0579
0.915555 -5.51158
60.5945 104.628
34.9803 65.3776
62.331 119.26
56.2853 102.387
30.6406 30.6803
61.2568 79.5314
3.10373 1.40785
93.6766 135.966
61.1591 113.469
58.2598 87.5417
79.3176 117.816
58.9435 94.5491
67.275 85.2189
26.7312 28.8556
77.102 110.173
11.6855 15.6221
89.3948 108.051
90.2005 167.237
19.7363 35.4774
95.3398 182.703
62.8712 74.9878
26.4992 31.1131
78.811 95.3025
48.0941 52.8879
85.5342 95.8232
57.3321 85.8024
19.187 33.0197
1.53508 -2.40083
17.4139 11.1608
67.6626 124.759
37.1227 60.0975
63.8234 75.0374
97.1038 122.402
76.9219 84.7628
0.924711 -4.22168
34.3242 44.1513
9.06705 9.90966
33.7992 56.1654
53.5478 77.966
46.5774 55.6126
86.3338 125.85
56.5813 98.1631
86.4223 159.501
86.4376 146.295
82.8639 151.311
90.8322 176.023
44.0168 44.6966
82.3054 115.438
0.0854518 -4.1143
6.37226 -0.561553
68.3889 120
14.2857 7.86803
1.85553 -1.6671
5.36515 5.18094
43.1715 38.8236
39.1949 64.5672
2.28278 -6.21894
63.4266 102.514
46.3424 51.9374
78.2159 105.636
60.802 70.9595
75.5821 87.1085
71.1631 145.108
64.1652 107.902
68.8162 89.3126
29.0384 42.9857
24.6437 33.5065
95.2055 164.148
62.3371 92.3454
74.5537 145.783
62.9475 120.426
91.8393 140.346
44.9721 86.8687
18.2928 14.7612
73.0491 143.354
4.13526 -4.45392
55.6352 83.9544
6.13727 2.14143
60.0909 58.8539
66.0237 85.7345
65.3584 91.0013
22.1625 29.081
49.7543 76.0146
43.5072 39.4493
37.5896 42.4549
73.3299 140.443
65.0594 100.377
73.7175 144.302
36.3262 41.0807
82.1223 116.769
86.9442 150.227
41.6669 73.5166
16.4861 10.7871
59.1113 66.201
58.0096 99.17
91.5647 153.03
80.8863 117.54
77.2515 90.4735
38.8256 43.554
19.5624 30.2038
38.1726 42.8023
19.8157 18.4251
76.104 138.783
44.8622 64.4919
46.1348 69.0723
23.8502 28.5046
92.2025 180.406
5.96332 3.80737
74.7215 129.245
90.9909 162.15
55.2843 56.8672
79.0368 130.835
73.1742 118.126
87.5546 157.139
39.494 51.0009
65.1967 67.4579
75.6188 89.3442
5.75274 -1.48727
34.5866 58.1637
43.6262 85.173
29.5297 43.3111
7.92871 -1.0455
14.301 19.9466
37.3821 60.0096
81.4203 106.082
25.6508 25.2052
22.9377 41.3888
88.7692 166.73
4.08948 -4.95441
35.5907 44.99
89.4467 147.583
91.1679 143.235
99.9329 203.468
84.0205 96.49
28.4371 33.8801
74.1813 123.067
64.5039 118.736
81.8171 95.3852
37.5072 62.7857
88.9676 96.461
44.8866 40.0012
41.847 49.7749
50.1694 62.9156
90.6522 107.391
77.1172 95.9968
80.6391 148.725
53.8926 109.426
64.687 82.0148
37.1044 42.778
56.1296 73.2727
32.4931 54.9689
94.0184 111.672
89.3948 128.387
63.4754 99.6145
42.3658 43.9419
13.9622 10.0117
68.1661 110.843
60.7227 106.886
81.8384 139.897
51.6526 45.925
74.8314 104.32
46.2264 74.8517
63.097 65.7561
96.9085 150.16
26.5938 45.589
59.7217 77.8799
46.0067 76.5437
1.44963 -3.44975
40.3882 48.1968
28.8827 45.8484
43.2173 79.6277
53.3128 56.9234
86.52 128.014
33.2957 49.6662
55.9618 55.5228
23.3039 44.0734
96.411 158.588
7.64489 2.57411
49.8581 55.5829
30.427 54.5778
58.8427 68.2433
56.0717 101.209
30.1401 51.736
23.1086 22.2944
89.0347 137.361
99.5239 109.564
25.6935 21.7878
23.1483 34.517
4.92874 -2.80938
27.9733 38.0977
41.2275 77.4843
29.2154 38.0527
95.1323 153.161
79.4427 145.002
87.0083 120.775
26.7922 49.9329
12.7628 16.6578
17.5909 8.23543
45.4787 78.604
1.44658 -1.9156
79.7205 144.432
29.8746 53.4219
84.2128 106.054
2.3011 -8.98572
35.6212 56.762
18.0425 15.0431
74.4896 80.5575
52.562 72.7483
15.8818 21.0797
2.92367 -0.0727184
24.9214 33.1051
53.9933 92.0008
93.2524 179.779
15.3233 21.4082
89.5138 101.679
82.2413 115.886
67.1957 95.0303
94.9461 192.972
59.4806 70.9494
19.7943 26.534
35.5327 40.0403
69.1794 136.401
98.2574 124.557
23.5817 39.9606
32.6456 47.1649
33.6528 38.4267
29.017 35.5096
73.9677 135.561
68.6697 89.7523
6.44246 8.32728
34.1563 31.9306
2.07831 -1.78665
54.0574 85.8035
77.7367 130.232
75.9941 139.137
42.3505 68.1069
43.8368 43.131
26.9265 21.9059
98.2055 151.918
7.10166 7.97706
86.0073 114.052
28.9529 31.2509
17.246 10.3603
30.0912 51.2741
8.36818 0.76864
21.7536 25.9496
63.2282 68.8478
75.8843 97.3778
28.251 47.4232
56.7583 100.541
79.5404 161.358
61.8854 98.8132
19.425 30.6975
4.22987 -3.78464
40.6812 67.8133
90.0052 128.433
20.6488 17.8528
35.3984 46.407
97.6043 126.151
34.6965 65.9012
20.1666 19.432
53.1999 64.2005
9.96124 7.11388
84.3806 145.703
0.5768 -5.03578
93.5331 124.128
74.691 144.55
83.0103 132.657
78.4234 91.4649
68.9047 100.919
10.1932 3.68241
68.7429 83.1041
22.8645 26.0944
76.3298 80.4291
5.61541 0.424647
56.5477 110.372
87.8658 124.595
41.3495 68.9479
94.5189 118.753
61.626 65.396
42.1949 80.7289
20.0873 21.8253
62.3127 106.966
10.5258 6.49867
31.6782 57.4917
31.1533 34.0735
46.9069 90.608
36.848 47.8126
58.0432 106.169
39.3384 73.7763
41.8592 67.2754
8.36512 0.545575
8.7344 5.09717
62.9139 78.9346
61.4521 67.1814
82.4976 124.914
22.0954 19.8665
26.4595 23.0626
77.0562 90.7387
36.9427 67.2498
22.2663 24.0159
31.0617 42.6876
84.1609 117.6
72.4174 121.794
8.17286 11.6147
63.7806 85.8463
9.43937 4.18705
34.312 59.3765
31.0312 30.3369
18.2287 15.0744
17.246 13.4071
50.1907 99.6704
44.6455 79.6637
48.1918 70.7542
24.8604 41.4077
29.9539 53.7811
62.9902 107.443
26.0964 33.7914
85.9462 134.088
25.6172 44.6862
9.35392 6.78243
28.2632 36.3714
51.5091 68.2951
97.4975 102.574
91.4792 133.839
18.7658 14.7826
67.7938 106.571
83.7184 107.814
87.0449 106.426
53.8377 59.7698
20.4627 16.4841
19.953 34.974
73.8792 97.8141
78.6126 156.186
84.4325 103.797
6.18915 1.88487
89.2758 127.858
38.1573 49.4663
88.7539 123.698
67.4642 85.0585
52.7848 96.3409
74.633 114.696
55.9038 68.5512
5.41398 6.5179
36.848 41.0508
32.4564 34.1457
24.8817 26.8664
87.5271 145.343
19.6844 26.1622
43.3332 71.2922
17.4444 22.4496
70.9403 88.6771
4.73037 -2.92048
13.0833 8.99618
56.8957 83.0997
7.71813 -0.514522
41.1267 41.255
82.0643 122.71
98.7945 188.44
28.4433 44.1052
29.4748 35.8316
81.1121 119.85
82.9218 126.222
50.9568 99.5234
47.3922 70.7087
54.8845 77.2646
65.9719 73.7267
11.243 8.97769
79.1284 112.835
74.4346 108.001
44.2091 66.3236
63.2038 97.5928
83.6665 95.6675
10.9256 2.67977
25.5959 33.7332
44.2732 48.0321
85.6777 153.539
92.3826 120.002
60.6861 64.9345
53.7248 68.0064
23.7068 40.9993
15.2593 10.3896
91.6715 150.92
40.556 72.7523
39.9579 55.5302
32.841 47.172
28.9956 44.3519
47.8072 63.0225
46.0341 69.5916
92.23 107.258
14.8686 9.14948
10.2023 14.5215
49.0738 70.7826
41.85 61.8075
83.0592 118.763
52.0035 99.1928
72.57 117.331
81.341 147.463
74.3584 99.096
81.8964 145.009
56.3219 61.037
75.7103 105.405
17.0965 18.5226
31.8613 36.799
69.8416 118.07
5.6032 5.5322
32.0688 34.7707
36.8542 48.3386
23.6213 26.3925
75.6035 117.937
71.2149 97.5414
2.15766 -1.80807
12.6377 14.808
52.3942 96.8284
49.5163 50.7104
55.3484 73.9583
76.4275 73.8073
54.6953 91.903
79.4031 148.901
29.6457 40.6349
10.1779 4.12599
66.8203 79.2259
67.0766 120.204
75.6584 116.962
11.1454 10.5717
97.7477 145.363
80.1202 128.723
48.262 93.0147
94.7996 119.497
57.5701 69.005
45.793 68.2727
65.5751 109.815
65.0746 74.9139
73.2139 148.89
89.3307 144.104
86.8862 144.292
